id,movie_id,movie_name,review_text,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_label
1018,tt0111161,The Shawshank Redemption,"The evangelical adoration this film has earned is lost on me. Like so many popular films of recent years, ""Shawshank"" is an obvious, cliche-riddled epic that's won fans because it plays it safe. Characters are either saintly or satanic. There's no room for shades of gray. Sure its sumptuously filmed. A $50 million budget can do that. Add the always solid Morgan Freeman, a paper-thin moral about hope, and you've got a film longing to be loved. Obviously, plenty of people do. But compared to Freeman, Tim Robbins' vanilla performance as the long-suffering innocent (dare I say Christ-like) man trapped in purgatory comes off bland. Clancy Brown as the sadistic prison guard is the worst cliche of the all. When you toss in the obligatory prison rapes, the corrupt warden, and James Whitmore (who is very good) as the veteran inmate unprepared for life outside the institution, you've got a predictable film that only snaps to life near its plot-holed conclusion. Worse of all, Frank Darabont directs the works at half-speed. This is a painfully overlong concoction. In time, ""The Shawshank Redemption"" will be regarded as a well-crafted but shallow prison film.",-0.975,0.12,0.695,0.185,negative
5345,tt0068646,The Godfather,"A large cinematic fresco depicting the life of the Italian-American organized crime, in general, and of the Corleone Family of New York, originally from Corleone in Sicily, in particular, between 1945 and 1955. The strength of Francis Ford Coppola's masterful work lies mainly in the following points: His Oscar-winning big screen adaptation with Mario Puzo, His stellar casting achieving excellence, notably with an Oscar-winning performance by Marlon Brando and an Oscar-nominated performance by Al Pacino, Nino Rota and Carmine Coppola's soundtrack, which includes one of the most iconic themes in cinema history and is one of the best film scores ever composed, The baptism scene, which is a lesson in filmmaking. ""Do you renounce Satan?"" is the question posed to this ostensibly religious underworld, but so disinclined to follow the Teachings of Jesus Christ. If Vito ""Don"" Corleone was able to lead a rather balanced and honorable life it is because he knew the limits not to be crossed. This is precisely why he firmly rejects drug trafficking out of conscience. And that he constantly calls for reason to prevail in order to avoid outbreaks of violence. A wisdom that dies with him despite everything he tried to pass on to his biological and spiritual heirs during his lifetime; and which will ultimately cause the fall of the Corleone Family.",-0.6009,0.069,0.847,0.085,negative
237,tt0111161,The Shawshank Redemption,"Ok, so this isn't exactly a bad film, but it's extremely hard to see why it holds the no.2 position in the top 250 films. The acting is fine, the twist is gratifying (if a little predictable) and some of the shots are fantastic. However, the film is let down by unrealistic dialogue, especially on the part of Freeman's character, who does not seem able to construct a sentence without using a string of metaphors and similes. The prison warder is a one-dimensional villain with very little allure - we, the viewers, are not credited with much intelligence. Because he is a villain, it therefore follows that he must a be a Nazi, no? Cue references to book-burning etc. Furthermore, the portrayal of Tim Robbins' character as Christ is slightly offensive (check out the shot in which he is shown with his arms thrown up to heaven). In true Hollywood style, there seems to be about five 'endings' - when we think that the excitement (or otherwise) is over, another sequence is tagged onto the end. Despite some fairly violent scenes, life inside Shawshank seems actually rather appealing - a library, plenty of time outside the cells. This, combined with the film's massive length, means that for my mind, The Shawshank Redemption merits only a 6/10.",0.9068,0.156,0.742,0.102,positive
855,tt0111161,The Shawshank Redemption,"This was a reflection of the 'count of Montecristo', especially the jailbreak scene. But still i find it fascinating enough to impress me and have a lot of ingredient included in it. This is probably the most amazing movies from the nineties apart from Forrestgump and back to the future and all. It also reminded me of the series The Oz, Its cool and all, but there's this mainstream way of showing jail and high school as the same in Hollywood a lot. probably so but i'm afraid that not to be true.And one more thing i noticed was that viewers seems to be confused a number of times as the story slips from one another scene and is really complicated. that is it started as a man who have been betrayed by his love to who've been framed then jailed bitched from there and rules there becomes everyone's favorite and the warden becomes his worst enemy and teaches him a lesson while he was on the go.",-0.1557,0.14,0.722,0.138,negative
1106,tt0111161,The Shawshank Redemption,Really good but not good enough to get a good sleep in the night and the day is good to see it again in the next few weeks and then you can start the day after the game and you can do it on the back of your life if you don't have it right after your next level you have it for your time of day.,0.9429,0.194,0.806,0.0,positive
2132,tt0068646,The Godfather,I loved the movie script and casting. It's hard to fine a movie done this well.,0.7701,0.415,0.513,0.072,positive
3826,tt0068646,The Godfather,"Godfather has a epic soundtrack. I am sure that someone who has a little knowledge about movies, is privy to this OST. It is a masterpiece for sure. The first time I watched this movie I had a 2 CD version of it. The second CD was broken/scratched and I really was so bored that I did not consider to watch this part on stream. I don't know why this movie is so high rated even if my father likes this movies. I do not blame anyone for watching this series of Godfather but those who watched it, cannot tell why they like this movies either. By the way I have watched every film starring Al Pacino and these are the only I could not finish at all! It has a very long, uninteresting and well known story which has a high budged. If you don't believe me, ask your friends who watched it. You will see what I am trying to tell because they only will tell you: ""Well.. it is.. just watch it! It's a great movie"".",0.9702,0.143,0.846,0.011,positive
414,tt0111161,The Shawshank Redemption,"Not for a reason. But for the fine art to create a story who seems be more than fiction and who use a script, a cast and location for a puzzle who becomes part of precious memories. Its themes, the tension, the moral questions, the meeting between Morgan Freeman and Tim Robbins and the result of dialogs who are truth axis of movie and wise adaptation, are bones of a splendid film. A film who reminds more than presents. Values, roots of justice, beauty of original source, the end who is expression of a deep expectation of the viewer are elements who transforms The Shawshank Redemption in an experience for the viewer. Short - a film who must see!",0.9917,0.3,0.68,0.021,positive
176,tt0111161,The Shawshank Redemption,"At first, before starting the movie, I thought ""Sounds like a typical prison riot and break-out kind of movie"". At the beginning of the movie, my thoughts was even more convincing. A large prison (Which immediately reminded me of the movie ""The Last Castle"" from 2001), housing people of all sorts, having it's guards, warden and of course, the inmates. The typical inmate; Roughneck, hard on the outside, broken on the inside. And they all claim their innocence, as an internal joke sort of speak. It gets to a point where I started comparing it with others. That proved wrong in quite a short while, from the point where a prisoner, framed for murder of his wife and her lover, is being convicted and sentenced to life in prison. His name was Andy Dufresne. In short terms, a straight-up bank employee, excellent with numbers and taxes, which he also uses to benefit within the walls of the prison. His reputation as a numerological genius spreads out, and soon all kinds of people, inmates and guards, are coming to him for financial advice. He builds up a library, he maintains a strict surface. He has his hobbies, to keep his mind busy (as said in the movie). He carves chess pieces out of stone, using an axe as the tool. Seemingly, this is a nice and lucrative hobby, but underneath it all, he has a secret.. The movie keeps the viewer thrilled and excited, because in every minute, something could happen. The dialog is good, Tim Robbins and Morgan Freeman, both great actors, shows and outstanding play. The crew really did good work on the set, the right camera angles, the light, sounds and so on..it was almost like I could smell the prison! A brilliant movie. Not too short, not too long. It's worth every minute watching! My highest recommendation for those who like drama, action and humor.",0.9915,0.181,0.742,0.077,positive
537,tt0111161,The Shawshank Redemption,"I am so pleased to see the high rating this movie has received. Many people I know have never heard of it, but when I tell them about it and they rent it, they are 'converted'!! Compared to so many recent movies that are eye-candy, this film delivers the true meaning of friendship and focuses on this aspect instead of flasy cars, lasers, dumb plots and high paid actors bloated with self confidence. Another movie along the same line is ""Spitfire Grill"". Rent it and you will probably enjoy it as much.",0.9385,0.178,0.78,0.042,positive
